fechas,Cripto,prices2,market_caps2,total_volumes2,Open,High,Low,Close,Ranking,Body_Ratio,Clasificación,Daily_Return
2022-12-29,bitcoin,16538.906094001977,318288869204.81464,19113614755.874695,16547.32,16664.41,16488.91,16633.47,1,0.49088319088319915,Fuerte Volatilidad,0.00520688861210683
2022-12-30,bitcoin,16644.379087037905,320297298175.87695,15683731676.998154,16633.47,16677.35,16333.0,16607.48,1,0.07547553361406044,Indecisión,-0.0015625122118235746
2022-12-31,bitcoin,16604.020520373393,319722045805.09534,17497327983.349342,16607.48,16644.09,16470.0,16542.4,1,0.3738296283531395,Fuerte Volatilidad,-0.003918716144773238
2023-01-01,bitcoin,16540.693624776803,318278329991.7019,12013247678.029587,16541.77,16628.0,16499.01,16616.75,1,0.5812853709589785,Fuerte Volatilidad,0.004494511074571994
2023-01-02,bitcoin,16615.969318012816,319832024054.6308,9799252684.089952,16617.17,16799.23,16548.7,16672.87,1,0.22232866323394798,Indecisión,0.003377315058600505
2023-01-03,bitcoin,16674.342536301097,321486454934.26776,13023861027.769472,16672.78,16778.4,16605.28,16675.18,1,0.013863216266181947,Indecisión,0.0001385484322735664
2023-01-04,bitcoin,16677.646185850346,321080820418.18396,15367167883.495031,16675.65,16991.87,16652.66,16850.36,1,0.515049674243093,Fuerte Volatilidad,0.01050543382440261
2023-01-05,bitcoin,16855.1747387671,324397588037.39484,20836560771.723633,16850.36,16879.82,16753.0,16831.85,1,0.1459548967040063,Indecisión,-0.0010984928511914571
2023-01-06,bitcoin,16832.098988497855,324138957221.0557,14919039445.106901,16831.85,17041.0,16679.0,16950.65,1,0.32817679558011853,Fuerte Volatilidad,0.007058047689350921
2023-01-07,bitcoin,16960.23206247515,326571439011.6566,19046576249.728558,16950.31,16981.91,16908.0,16943.57,1,0.09119199025844424,Indecisión,-0.00041768309769840695
2023-01-08,bitcoin,16950.861521853905,326371741274.41095,9594456673.448975,16943.83,17176.99,16911.0,17127.83,1,0.6917553291477082,Fuerte Volatilidad,0.010874921873017529
2023-01-09,bitcoin,17074.61539572674,328470896861.37854,11841041542.993702,17127.83,17398.8,17104.66,17178.26,1,0.1714489698782782,Indecisión,0.0029443309514396443
2023-01-10,bitcoin,17194.90932945318,331158152699.25574,25532751567.198166,17179.04,17499.0,17146.34,17440.66,1,0.7418476719786737,Fuerte Dirección Alcista,0.015275120995956515
2023-01-11,bitcoin,17436.90232978116,335743942932.3494,21858206845.29233,17440.64,18000.0,17315.6,17943.26,1,0.7343950905902951,Fuerte Dirección Alcista,0.02881771676071887
